================================================================================
NYC FRIENDS GRAFFITI - CLEAN WORD FREQUENCY ANALYSIS
================================================================================

Statistics:
  Total graffiti: 114
  Unique words (filtered): 276
  Total word occurrences: 1850

================================================================================
ALL WORDS SORTED BY FREQUENCY (Highest to Lowest)
================================================================================

 233. sense                          |     2 times
 234. ancestors                      |     2 times
 235. tf                             |     2 times
 236. burn                           |     2 times
 237. our                            |     2 times
 238. children                       |     2 times
 239. inherit                        |     2 times
 240. ewwwwwww                       |     2 times
 241. put                            |     2 times
 242. phone                          |     2 times
 243. beloved                        |     2 times
 244. ur                             |     2 times
 245. loser                          |     2 times
 246. mass                           |     2 times
 247. have                           |     2 times
 248. accept                         |     2 times
 249. future                         |     2 times
 250. juicy                          |     2 times
 251. king                           |     2 times
 252. von                            |     2 times
 253. skill                          |     2 times
 254. issue                          |     2 times
 255. end                            |     2 times
 256. cycle                          |     2 times
 257. cause                          |     2 times
 258. frendoe                        |     2 times
 259. souless                        |     2 times
 260. crap                           |     2 times
 261. outside                        |     2 times
 262. friendshit                     |     2 times
 263. sociopath                      |     2 times
 264. definition                     |     2 times
 265. chatgpt                        |     2 times
 266. everyday                       |     2 times
 267. friendrobot                    |     2 times
 268. con                            |     2 times
 269. friendstop                     |     1 times
 270. profiting                      |     1 times
 271. off                            |     1 times
 272. loneliness                     |     1 times
 273. senior                         |     1 times
 274. citizen                        |     1 times
 275. world-grow                     |     1 times
 276. span                           |     1 times
